Bloomberg Code,Quote Date,Quote Close,Currency
USGG10YR Index,2019-07-10,2.0613,USD
USGG10YR Index,2019-07-11,2.1378,USD
USGG10YR Index,2019-07-12,2.1219,USD
USGG10YR Index,2019-07-15,2.0887,USD
USGG10YR Index,2019-07-16,2.1026,USD
USGG10YR Index,2019-07-17,2.0451,USD
USGG10YR Index,2019-07-18,2.0242,USD
USGG10YR Index,2019-07-19,2.0552,USD
USGG10YR Index,2019-07-22,2.0464,USD
USGG10YR Index,2019-07-23,2.0812,USD
USGG10YR Index,2019-07-24,2.0428,USD
USGG10YR Index,2019-07-25,2.081,USD
USGG10YR Index,2019-07-26,2.0703,USD
USGG10YR Index,2019-07-29,2.065,USD
USGG10YR Index,2019-07-30,2.058,USD
USGG10YR Index,2019-07-31,2.0144,USD
USGG10YR Index,2019-08-01,1.8935,USD
USGG10YR Index,2019-08-02,1.8452,USD
USGG10YR Index,2019-08-05,1.7075,USD
USGG10YR Index,2019-08-06,1.7023,USD
USGG10YR Index,2019-08-07,1.7342,USD
USGG10YR Index,2019-08-08,1.7172,USD
USGG10YR Index,2019-08-09,1.7447,USD
USGG10YR Index,2019-08-12,1.6454,USD
USGG10YR Index,2019-08-13,1.7035,USD
USGG10YR Index,2019-08-14,1.5792,USD
USGG10YR Index,2019-08-15,1.5269,USD
USGG10YR Index,2019-08-16,1.5538,USD
USGG10YR Index,2019-08-19,1.6063,USD
USGG10YR Index,2019-08-20,1.5555,USD
USGG10YR Index,2019-08-21,1.5893,USD
USGG10YR Index,2019-08-22,1.6131,USD
USGG10YR Index,2019-08-23,1.5351,USD
USGG10YR Index,2019-08-26,1.5351,USD
USGG10YR Index,2019-08-27,1.4711,USD
USGG10YR Index,2019-08-28,1.4794,USD
USGG10YR Index,2019-08-29,1.4945,USD
USGG10YR Index,2019-08-30,1.4961,USD
USGG10YR Index,2019-09-02,1.4961,USD
USGG10YR Index,2019-09-03,1.4573,USD
USGG10YR Index,2019-09-04,1.4657,USD
USGG10YR Index,2019-09-05,1.5586,USD
USGG10YR Index,2019-09-06,1.5602,USD
USGG10YR Index,2019-09-09,1.6438,USD
USGG10YR Index,2019-09-10,1.7316,USD
USGG10YR Index,2019-09-11,1.7385,USD
USGG10YR Index,2019-09-12,1.7715,USD
USGG10YR Index,2019-09-13,1.8958,USD
USGG10YR Index,2019-09-16,1.8467,USD
USGG10YR Index,2019-09-17,1.8013,USD
USGG10YR Index,2019-09-18,1.7961,USD
USGG10YR Index,2019-09-19,1.784,USD
USGG10YR Index,2019-09-20,1.7215,USD
USGG10YR Index,2019-09-23,1.7267,USD
USGG10YR Index,2019-09-24,1.6456,USD
USGG10YR Index,2019-09-25,1.7372,USD
USGG10YR Index,2019-09-26,1.6921,USD
USGG10YR Index,2019-09-27,1.6801,USD
USGG10YR Index,2019-09-30,1.6646,USD
USGG10YR Index,2019-10-01,1.6353,USD
USGG10YR Index,2019-10-02,1.5992,USD
USGG10YR Index,2019-10-03,1.5341,USD
USGG10YR Index,2019-10-04,1.529,USD
USGG10YR Index,2019-10-07,1.558,USD
USGG10YR Index,2019-10-08,1.5289,USD
USGG10YR Index,2019-10-09,1.5836,USD
USGG10YR Index,2019-10-10,1.6681,USD
USGG10YR Index,2019-10-11,1.729,USD
USGG10YR Index,2019-10-14,1.729,USD
USGG10YR Index,2019-10-15,1.771,USD
USGG10YR Index,2019-10-16,1.7395,USD
USGG10YR Index,2019-10-17,1.7518,USD
USGG10YR Index,2019-10-18,1.7536,USD
USGG10YR Index,2019-10-21,1.7993,USD
USGG10YR Index,2019-10-22,1.7607,USD
USGG10YR Index,2019-10-23,1.7642,USD
USGG10YR Index,2019-10-24,1.766,USD
USGG10YR Index,2019-10-25,1.7943,USD
USGG10YR Index,2019-10-28,1.842,USD
USGG10YR Index,2019-10-29,1.8385,USD
USGG10YR Index,2019-10-30,1.7715,USD
USGG10YR Index,2019-10-31,1.691,USD
USGG10YR Index,2019-11-01,1.7103,USD
USGG10YR Index,2019-11-04,1.777,USD
USGG10YR Index,2019-11-05,1.8584,USD
USGG10YR Index,2019-11-06,1.8283,USD
USGG10YR Index,2019-11-07,1.9173,USD
USGG10YR Index,2019-11-08,1.9417,USD
USGG10YR Index,2019-11-11,1.9417,USD
USGG10YR Index,2019-11-12,1.9347,USD
USGG10YR Index,2019-11-13,1.886,USD
USGG10YR Index,2019-11-14,1.8186,USD
USGG10YR Index,2019-11-15,1.8308,USD
USGG10YR Index,2019-11-18,1.8153,USD
USGG10YR Index,2019-11-19,1.7826,USD
USGG10YR Index,2019-11-20,1.7449,USD
USGG10YR Index,2019-11-21,1.7723,USD
USGG10YR Index,2019-11-22,1.7706,USD
USGG10YR Index,2019-11-25,1.7551,USD
USGG10YR Index,2019-11-26,1.7414,USD
USGG10YR Index,2019-11-27,1.7654,USD
USGG10YR Index,2019-11-28,1.7654,USD
USGG10YR Index,2019-11-29,1.7758,USD
USGG10YR Index,2019-12-02,1.8189,USD
USGG10YR Index,2019-12-03,1.7157,USD
USGG10YR Index,2019-12-04,1.774,USD
USGG10YR Index,2019-12-05,1.8103,USD
USGG10YR Index,2019-12-06,1.8363,USD
USGG10YR Index,2019-12-09,1.819,USD
USGG10YR Index,2019-12-10,1.8416,USD
USGG10YR Index,2019-12-11,1.7914,USD
USGG10YR Index,2019-12-12,1.8922,USD
USGG10YR Index,2019-12-13,1.8226,USD
USGG10YR Index,2019-12-16,1.8713,USD
USGG10YR Index,2019-12-17,1.8801,USD
USGG10YR Index,2019-12-18,1.9169,USD
USGG10YR Index,2019-12-19,1.9204,USD
USGG10YR Index,2019-12-20,1.9171,USD
USGG10YR Index,2019-12-23,1.9294,USD
USGG10YR Index,2019-12-24,1.8996,USD
USGG10YR Index,2019-12-25,1.8996,USD
USGG10YR Index,2019-12-26,1.8944,USD
USGG10YR Index,2019-12-27,1.8752,USD
USGG10YR Index,2019-12-30,1.8788,USD
USGG10YR Index,2019-12-31,1.9175,USD
USGG10YR Index,2020-01-01,1.9175,USD
USGG10YR Index,2020-01-02,1.8771,USD
USGG10YR Index,2020-01-03,1.7881,USD
USGG10YR Index,2020-01-06,1.809,USD
USGG10YR Index,2020-01-07,1.8177,USD
USGG10YR Index,2020-01-08,1.8738,USD
USGG10YR Index,2020-01-09,1.8545,USD
USGG10YR Index,2020-01-10,1.8196,USD
USGG10YR Index,2020-01-13,1.8459,USD
USGG10YR Index,2020-01-14,1.8109,USD
USGG10YR Index,2020-01-15,1.783,USD
USGG10YR Index,2020-01-16,1.8074,USD
USGG10YR Index,2020-01-17,1.8215,USD
USGG10YR Index,2020-01-20,1.8215,USD
USGG10YR Index,2020-01-21,1.7743,USD
USGG10YR Index,2020-01-22,1.7691,USD
USGG10YR Index,2020-01-23,1.7325,USD
USGG10YR Index,2020-01-24,1.6839,USD
USGG10YR Index,2020-01-27,1.608,USD
USGG10YR Index,2020-01-28,1.6562,USD
USGG10YR Index,2020-01-29,1.5839,USD
USGG10YR Index,2020-01-30,1.5856,USD
USGG10YR Index,2020-01-31,1.5068,USD
USGG10YR Index,2020-02-03,1.5272,USD
USGG10YR Index,2020-02-04,1.5991,USD
USGG10YR Index,2020-02-05,1.6508,USD
USGG10YR Index,2020-02-06,1.6422,USD
USGG10YR Index,2020-02-07,1.5834,USD
USGG10YR Index,2020-02-10,1.5696,USD
USGG10YR Index,2020-02-11,1.6006,USD
USGG10YR Index,2020-02-12,1.6333,USD
USGG10YR Index,2020-02-13,1.6173,USD
USGG10YR Index,2020-02-14,1.5848,USD
USGG10YR Index,2020-02-17,1.5848,USD
USGG10YR Index,2020-02-18,1.561,USD
USGG10YR Index,2020-02-19,1.5661,USD
USGG10YR Index,2020-02-20,1.5152,USD
USGG10YR Index,2020-02-21,1.4713,USD
USGG10YR Index,2020-02-24,1.3705,USD
USGG10YR Index,2020-02-25,1.3521,USD
USGG10YR Index,2020-02-26,1.3371,USD
USGG10YR Index,2020-02-27,1.2607,USD
USGG10YR Index,2020-02-28,1.1486,USD
USGG10YR Index,2020-03-02,1.1632,USD
USGG10YR Index,2020-03-03,0.999,USD
USGG10YR Index,2020-03-04,1.0522,USD
USGG10YR Index,2020-03-05,0.912,USD
USGG10YR Index,2020-03-06,0.7623,USD
USGG10YR Index,2020-03-09,0.5407,USD
USGG10YR Index,2020-03-10,0.803,USD
USGG10YR Index,2020-03-11,0.8695,USD
USGG10YR Index,2020-03-12,0.8042,USD
USGG10YR Index,2020-03-13,0.9603,USD
USGG10YR Index,2020-03-16,0.7182,USD
USGG10YR Index,2020-03-17,1.0784,USD
USGG10YR Index,2020-03-18,1.1915,USD
USGG10YR Index,2020-03-19,1.1404,USD
USGG10YR Index,2020-03-20,0.8454,USD
USGG10YR Index,2020-03-23,0.7863,USD
USGG10YR Index,2020-03-24,0.8466,USD
USGG10YR Index,2020-03-25,0.8673,USD
USGG10YR Index,2020-03-26,0.8447,USD
USGG10YR Index,2020-03-27,0.6746,USD
USGG10YR Index,2020-03-30,0.7264,USD
USGG10YR Index,2020-03-31,0.6695,USD
USGG10YR Index,2020-04-01,0.5832,USD
USGG10YR Index,2020-04-02,0.597,USD
USGG10YR Index,2020-04-03,0.5948,USD
USGG10YR Index,2020-04-06,0.6698,USD
USGG10YR Index,2020-04-07,0.7122,USD
USGG10YR Index,2020-04-08,0.7722,USD
USGG10YR Index,2020-04-09,0.7191,USD
USGG10YR Index,2020-04-10,0.7191,USD
USGG10YR Index,2020-04-13,0.7713,USD
USGG10YR Index,2020-04-14,0.752,USD
USGG10YR Index,2020-04-15,0.6316,USD
USGG10YR Index,2020-04-16,0.6267,USD
USGG10YR Index,2020-04-17,0.6417,USD
USGG10YR Index,2020-04-20,0.6053,USD
USGG10YR Index,2020-04-21,0.5691,USD
USGG10YR Index,2020-04-22,0.619,USD
USGG10YR Index,2020-04-23,0.6015,USD
USGG10YR Index,2020-04-24,0.6008,USD
USGG10YR Index,2020-04-27,0.6605,USD
USGG10YR Index,2020-04-28,0.6129,USD
USGG10YR Index,2020-04-29,0.6269,USD
USGG10YR Index,2020-04-30,0.6393,USD
USGG10YR Index,2020-05-01,0.6118,USD
USGG10YR Index,2020-05-04,0.6336,USD
USGG10YR Index,2020-05-05,0.6619,USD
USGG10YR Index,2020-05-06,0.703,USD
USGG10YR Index,2020-05-07,0.6409,USD
USGG10YR Index,2020-05-08,0.6831,USD
USGG10YR Index,2020-05-11,0.7099,USD
USGG10YR Index,2020-05-12,0.6651,USD
USGG10YR Index,2020-05-13,0.6525,USD
USGG10YR Index,2020-05-14,0.6218,USD
USGG10YR Index,2020-05-15,0.6428,USD
USGG10YR Index,2020-05-18,0.7257,USD
USGG10YR Index,2020-05-19,0.6882,USD
USGG10YR Index,2020-05-20,0.6801,USD
USGG10YR Index,2020-05-21,0.672,USD
USGG10YR Index,2020-05-22,0.6591,USD
USGG10YR Index,2020-05-25,0.6591,USD
USGG10YR Index,2020-05-26,0.6965,USD
USGG10YR Index,2020-05-27,0.6819,USD
USGG10YR Index,2020-05-28,0.69,USD
USGG10YR Index,2020-05-29,0.6526,USD
USGG10YR Index,2020-06-01,0.6591,USD
USGG10YR Index,2020-06-02,0.6852,USD
USGG10YR Index,2020-06-03,0.7458,USD
USGG10YR Index,2020-06-04,0.8234,USD
USGG10YR Index,2020-06-05,0.8951,USD
USGG10YR Index,2020-06-08,0.8752,USD
USGG10YR Index,2020-06-09,0.8253,USD
USGG10YR Index,2020-06-10,0.7263,USD
USGG10YR Index,2020-06-11,0.669,USD
USGG10YR Index,2020-06-12,0.7034,USD
USGG10YR Index,2020-06-15,0.7215,USD
USGG10YR Index,2020-06-16,0.7528,USD
USGG10YR Index,2020-06-17,0.738,USD
USGG10YR Index,2020-06-18,0.7084,USD
USGG10YR Index,2020-06-19,0.6937,USD
USGG10YR Index,2020-06-22,0.7085,USD
USGG10YR Index,2020-06-23,0.7118,USD
USGG10YR Index,2020-06-24,0.679,USD
USGG10YR Index,2020-06-25,0.6856,USD
USGG10YR Index,2020-06-26,0.6413,USD
USGG10YR Index,2020-06-29,0.6234,USD
USGG10YR Index,2020-06-30,0.6561,USD
USGG10YR Index,2020-07-01,0.6758,USD
USGG10YR Index,2020-07-02,0.6693,USD
USGG10YR Index,2020-07-03,0.6693,USD
USGG10YR Index,2020-07-06,0.6759,USD
USGG10YR Index,2020-07-07,0.6397,USD
USGG10YR Index,2020-07-08,0.6644,USD
USGG10YR Index,2020-07-09,0.6135,USD
USGG10YR Index,2020-07-10,0.6447,USD
USGG10YR Index,2020-07-13,0.6184,USD
USGG10YR Index,2020-07-14,0.6233,USD
USGG10YR Index,2020-07-15,0.6299,USD
USGG10YR Index,2020-07-16,0.6168,USD
USGG10YR Index,2020-07-17,0.6266,USD
USGG10YR Index,2020-07-20,0.6102,USD
USGG10YR Index,2020-07-21,0.6004,USD
USGG10YR Index,2020-07-22,0.5971,USD
USGG10YR Index,2020-07-23,0.5774,USD
USGG10YR Index,2020-07-24,0.5888,USD
USGG10YR Index,2020-07-27,0.6151,USD
USGG10YR Index,2020-07-28,0.579,USD
USGG10YR Index,2020-07-29,0.5741,USD
USGG10YR Index,2020-07-30,0.5462,USD
USGG10YR Index,2020-07-31,0.5282,USD
USGG10YR Index,2020-08-03,0.5543,USD
USGG10YR Index,2020-08-04,0.5069,USD
USGG10YR Index,2020-08-05,0.5477,USD
USGG10YR Index,2020-08-06,0.5362,USD
USGG10YR Index,2020-08-07,0.564,USD
USGG10YR Index,2020-08-10,0.5755,USD
USGG10YR Index,2020-08-11,0.6415,USD
USGG10YR Index,2020-08-12,0.6747,USD
USGG10YR Index,2020-08-13,0.7208,USD
USGG10YR Index,2020-08-14,0.7094,USD
USGG10YR Index,2020-08-17,0.6882,USD
USGG10YR Index,2020-08-18,0.6687,USD
USGG10YR Index,2020-08-19,0.6801,USD
USGG10YR Index,2020-08-20,0.6509,USD
USGG10YR Index,2020-08-21,0.6282,USD
USGG10YR Index,2020-08-24,0.6542,USD
USGG10YR Index,2020-08-25,0.6835,USD
USGG10YR Index,2020-08-26,0.6884,USD
USGG10YR Index,2020-08-27,0.7522,USD
